comments,brand_name,cleaned_comment
I found it better than many other shopping malls in the city even today and since its inauguration,ChenOne,i found it better than many other shopping malls in the city even today and since its inauguration
Very nice store,ChenOne,very nice store
Very supportive staff. Satisfied with dealing with customer.,ChenOne,very supportive staff satisfied with dealing with customer
Good store for kids dresses,ChenOne,good store for kids dresses
one of my favorite brand..,ChenOne,one of my favorite brand
You can get clothing and home decor on discounted prices,ChenOne,you can get clothing and home decor on discounted prices
I liked this brand,ChenOne,i liked this brand
Quality of shopping and great addition in the city and first chain of business,ChenOne,quality of shopping and great addition in the city and first chain of business
Best local brand with International standards. expensive one,ChenOne,best local brand with international standards expensive one
It is a nice shopping area with decent atmosphere. The quality of garments is out class,ChenOne,it is a nice shopping area with decent atmosphere the quality of garments is out class
"good place to shop
staff is cooperative",ChenOne,good place to shop staff is cooperative
Good place for window shopping.,ChenOne,good place for window shopping
Good shopping point.,ChenOne,good shopping point
Ideal for whenever i need to park my car while on the go!,ChenOne,ideal for whenever i need to park my car while on the go
Not much productive store in terms of variety as compared to other outlets,ChenOne,not much productive store in terms of variety as compared to other outlets
I love this shop .all branded available,ChenOne,i love this shop all branded available
Amazing collection and quality products. My favorites place to shop,ChenOne,amazing collection and quality products my favorites place to shop
Nice shopping place,ChenOne,nice shopping place
Good place for Shoping,ChenOne,good place for shoping
"Well known clothing, bedding and furniture outlet. If you have lot of money to waste, you can waist here bcoz all the products here are so good. Prices are too much high even on 50% discount it seems higher.",ChenOne,well known clothing bedding and furniture outlet if you have lot of money to waste you can waist here bcoz all the products here are so good prices are too much high even on discount it seems higher
It's ok,ChenOne,its ok
Good product but much expansive,ChenOne,good product but much expansive
Nice place,ChenOne,nice place
Nice place for shopping,ChenOne,nice place for shopping
Unnecessarily expensive,ChenOne,unnecessarily expensive
Nice place for shopping,ChenOne,nice place for shopping
Expensive but better stuff,ChenOne,expensive but better stuff
Good,ChenOne,good
Good one!,ChenOne,good one
Good place to have some shopping,ChenOne,good place to have some shopping
Good to visit,ChenOne,good to visit
Quality items and reasonable prices.,ChenOne,quality items and reasonable prices
Good,ChenOne,good
Nice great,ChenOne,nice great
Good shoping place but expensive,ChenOne,good shoping place but expensive
Yeah its cool shopping there,ChenOne,yeah its cool shopping there
Product are reliable but prices are too much high,ChenOne,product are reliable but prices are too much high
Nice place for shopping related to required babay and families shopping,ChenOne,nice place for shopping related to required babay and families shopping
they are nice but not infirming about online orders.,ChenOne,they are nice but not infirming about online orders
Competitive and elegant setup,ChenOne,competitive and elegant setup
not good experience,ChenOne,not good experience
Nice place. On Chen One brand atoms are availables.,ChenOne,nice place on chen one brand atoms are availables
Chen one was the first brands outlet mall in sargodha.  And now it is a shopping centre with almost all major clothing and other essential shops.  Mini so jas opened it's outlet recently.  A good place!,ChenOne,chen one was the first brands outlet mall in sargodha and now it is a shopping centre with almost all major clothing and other essential shops mini so jas opened its outlet recently a good place
Good,ChenOne,good
"I dont know why this shop exist, i haven't heard any good thing about it. Even they didn't have sweaters and jackets in winter. But technology there is impressive",ChenOne,i dont know why this shop exist i havent heard any good thing about it even they didnt have sweaters and jackets in winter but technology there is impressive
Too much expensive as compared to products value,ChenOne,too much expensive as compared to products value
Satisfied,ChenOne,satisfied
This is the best shopping mall in bwp.,ChenOne,this is the best shopping mall in bwp
Best place for family shopping.,ChenOne,best place for family shopping
Great,ChenOne,great
Chenone is one of the most expensive and good brand,ChenOne,chenone is one of the most expensive and good brand
Great experience,ChenOne,great experience
Nice place,ChenOne,nice place
Great place with variety of options,ChenOne,great place with variety of options
nice collection for men dressing,ChenOne,nice collection for men dressing
Really Loved it,ChenOne,really loved it
Good place,ChenOne,good place
all the things are found here,ChenOne,all the things are found here
The mall is soo good,ChenOne,the mall is soo good
"Good stuff, designs and variety",ChenOne,good stuff designs and variety
A reasonably good store of Chen one in bahawal pur,ChenOne,a reasonably good store of chen one in bahawal pur
Prices are quite high for outfits though stuff is also compromised.,ChenOne,prices are quite high for outfits though stuff is also compromised
Very nice place for cloths shopping,ChenOne,very nice place for cloths shopping
"One the worst brand as per quality of the products , had bought some stuff from it but after a month it got faded, and upon asking they told sir this was in black colour and as you know black got faded.",ChenOne,one the worst brand as per quality of the products had bought some stuff from it but after a month it got faded and upon asking they told sir this was in black colour and as you know black got faded
A good place to shop nice quality Clothes and fashion stuff,ChenOne,a good place to shop nice quality clothes and fashion stuff
Complete store all vriety,ChenOne,complete store all vriety
This brand is going down day by day in term of business,ChenOne,this brand is going down day by day in term of business
Very cheap,ChenOne,very cheap
Mens wearing got too many choices,ChenOne,mens wearing got too many choices
Quality,ChenOne,quality
Bridal thing avialable in less price,ChenOne,bridal thing avialable in less price
Located in MTA increases the grace of city,ChenOne,located in mta increases the grace of city
gentle man choice,ChenOne,gentle man choice
Nice place,ChenOne,nice place
Good for shopping of clothes and apperall,ChenOne,good for shopping of clothes and apperall
A good place to shop.,ChenOne,a good place to shop
Nice things on discounted rates,ChenOne,nice things on discounted rates
Fabric and quality is outstanding,ChenOne,fabric and quality is outstanding
Side py hy baki brands k sth hona chaheay,ChenOne,side py hy baki brands k sth hona chaheay
Great opportunity for shopping,ChenOne,great opportunity for shopping
this shop is wonderfull,ChenOne,this shop is wonderfull
Posh shopping mall in Bahawalpur,ChenOne,posh shopping mall in bahawalpur
Excellent,ChenOne,excellent
Awesome,ChenOne,awesome
Price high but quality is awesome,ChenOne,price high but quality is awesome
Nice shopping Mall with affordable prices.,ChenOne,nice shopping mall with affordable prices
Very good.  Best,ChenOne,very good best
Good store for shopping. Many brands available,ChenOne,good store for shopping many brands available
Good place and we'll maintained outlet,ChenOne,good place and well maintained outlet
Brand shop with good quality stuff.,ChenOne,brand shop with good quality stuff
They no variety compared to the branches of lahore and multan,ChenOne,they no variety compared to the branches of lahore and multan
I will not recomend,ChenOne,i will not recomend
Good place for shopping,ChenOne,good place for shopping
Shopping mall and best food available here,ChenOne,shopping mall and best food available here
i had a good experience with this outlet. The staff was cooperative.,ChenOne,i had a good experience with this outlet the staff was cooperative
It is a good shopping mall.,ChenOne,it is a good shopping mall
Standard but high prices as compared to stuff and design,ChenOne,standard but high prices as compared to stuff and design
Great place. Good variety,ChenOne,great place good variety
Its really bad quality there now.,ChenOne,its really bad quality there now
being a regular customer i visited Chen one with family 2 days ago and it turned into a shame when the stupid and drunk security guard humiliated me with his horrible and threatening attitude over  parking issue that was't my fault at all.,ChenOne,being a regular customer i visited chen one with family days ago and it turned into a shame when the stupid and drunk security guard humiliated me with his horrible and threatening attitude over parking issue that wast my fault at all
Good place for Shopping ,ChenOne,good place for shopping
Average clothes and over priced. Sometimes quality is very bad.,ChenOne,average clothes and over priced sometimes quality is very bad
"Good outlets,comapring the multan chenone tower",ChenOne,good outletscomapring the multan chenone tower
Good stuff but costly,ChenOne,good stuff but costly
Excellent Products,ChenOne,excellent products
Best but ..... during 50% off,ChenOne,best but during off
"Came with my family & i was refused entrance, they said ladies only, they said just wait outside. :(",ChenOne,came with my family i was refused entrance they said ladies only they said just wait outside
Nice place,ChenOne,nice place
"Expensive, cheaper and better stuff is available on Other brands.",ChenOne,expensive cheaper and better stuff is available on other brands
Nice shopping place,ChenOne,nice shopping place
Good in the sale time,ChenOne,good in the sale time
Superb place,ChenOne,superb place
experience,ChenOne,experience
Good,ChenOne,good
Bahawalpur good shopping mall,ChenOne,bahawalpur good shopping mall
Buy anything what you need,ChenOne,buy anything what you need
I did shopping a lot from here,ChenOne,i did shopping a lot from here
Nice shop,ChenOne,nice shop
Good place for shopping,ChenOne,good place for shopping
Shoping,ChenOne,shoping
Nice but expensive,ChenOne,nice but expensive
Not enough variety.,ChenOne,not enough variety
Best for quality products,ChenOne,best for quality products
Nice place for shopping,ChenOne,nice place for shopping
Wonderful,ChenOne,wonderful
Poor dealing,ChenOne,poor dealing
Awesome,ChenOne,awesome
"A place of shopping brands cloth, Shoes, cosmetic etc but not for middle standard people.",ChenOne,a place of shopping brands cloth shoes cosmetic etc but not for middle standard people
Good entry,ChenOne,good entry
Very much price,ChenOne,very much price
No new designs,ChenOne,no new designs
Nice collection,ChenOne,nice collection
High price clothing shopping store,ChenOne,high price clothing shopping store
Little bit expensive,ChenOne,little bit expensive
Good addition in Bahawalpur,ChenOne,good addition in bahawalpur
"I found nothing which I wanted to buy.
There was less range and prices weren't suitable.",ChenOne,i found nothing which i wanted to buy there was less range and prices werent suitable
Its ok,ChenOne,its ok
Not economical,ChenOne,not economical
high Shopping center,ChenOne,high shopping center
Under one roof  quality,ChenOne,under one roof quality
Cheneone outlet Bahawalpur,ChenOne,cheneone outlet bahawalpur
Moderate store and expensive,ChenOne,moderate store and expensive
low cost products are useless.,ChenOne,low cost products are useless
Good store,ChenOne,good store
Classy place,ChenOne,classy place
Much Expensive,ChenOne,much expensive
Loved it.,ChenOne,loved it
Good,ChenOne,good
Brand all types clothing under one roof,ChenOne,brand all types clothing under one roof
Gud fir level shopping,ChenOne,gud fir level shopping
good clothing,ChenOne,good clothing
love shopping,ChenOne,love shopping
Nice,ChenOne,nice
Chen one has reduced their quality,ChenOne,chen one has reduced their quality
Cool,ChenOne,cool
Nyc for shopping,ChenOne,nyc for shopping
Good,ChenOne,good
Level up place for shopping,ChenOne,level up place for shopping
Shoping mall,ChenOne,shoping mall
Only for brand lovers,ChenOne,only for brand lovers
High prices,ChenOne,high prices
Brand shop,ChenOne,brand shop
great,ChenOne,great
Best prices,ChenOne,best prices
Good,ChenOne,good
Good but costly,ChenOne,good but costly
Nice,ChenOne,nice
Just ok,ChenOne,just ok
Good,ChenOne,good
Good,ChenOne,good
Expensive,ChenOne,expensive
Nice,ChenOne,nice
Shopping clothing,ChenOne,shopping clothing
All in one,ChenOne,all in one
"it,s a good clothing brand for families.",ChenOne,its a good clothing brand for families
There used to be variety in things that are no longer there.cost is too much. please improve all these.,ChenOne,there used to be variety in things that are no longer therecost is too much please improve all these
"
Chenone is expensive but it never compromised quality.Good Products.
But they place a sale in the end of season brought good things.",ChenOne,chenone is expensive but it never compromised qualitygood products but they place a sale in the end of season brought good things
Rate is enough,ChenOne,rate is enough
It is best,ChenOne,it is best
"
Over priced AF, useless collection",ChenOne,over priced af useless collection
Great,ChenOne,great
Superb .. !!,ChenOne,superb
"Visited to buy a neck scarf but they didn't have it. Still the attended was courteous enough to guide me to find a nearby store.
Accessibility is an issue but hopefully the attendees can help the visitors",Diners,visited to buy a neck scarf but they didnt have it still the attended was courteous enough to guide me to find a nearby store accessibility is an issue but hopefully the attendees can help the visitors
It is nice place for shopping,Diners,it is nice place for shopping
"Very good verity and excellent collection .
But very expressive",Diners,very good verity and excellent collection but very expressive
It is one of the best shopping store where affordable prices reacable,Diners,it is one of the best shopping store where affordable prices reacable
It was good to visit and enjoy all suiting at nominal price,Diners,it was good to visit and enjoy all suiting at nominal price
Staff was very responsive and forthcoming. Experience was very good. Strongly recommended.,Diners,staff was very responsive and forthcoming experience was very good strongly recommended
"A very nice store if the manager will be replaced because he have no clue of what customer service is.
He is very bad at temperament and ethics",Diners,a very nice store if the manager will be replaced because he have no clue of what customer service is he is very bad at temperament and ethics
"As good outlet as in big cities i.e Lahore Islamabad....
Staff need further trainings in my opinion...",Diners,as good outlet as in big cities ie lahore islamabad staff need further trainings in my opinion
"Diner store conatains very good stuff of clothes.
It also contains nice shoes.",Diners,diner store conatains very good stuff of clothes it also contains nice shoes
Such A great Store in this Area,Diners,such a great store in this area
Best shirts and trousers available here.,Diners,best shirts and trousers available here
good point,Diners,good point
It's my first visit. It's looking a good place for shopping,Diners,its my first visit its looking a good place for shopping
Quality of stuff is just acceptable,Diners,quality of stuff is just acceptable
"Nice place to visit,  quite a large verity for gents 2 piece & t-shirts.",Diners,nice place to visit quite a large verity for gents piece tshirts
It was good but the prices were high,Diners,it was good but the prices were high
I love this one,Diners,i love this one
Three piece suit best place,Diners,three piece suit best place
Good for Clthing,Diners,good for clthing
Good bt costly products,Diners,good bt costly products
Good quality and stuff,Diners,good quality and stuff
Best clothing brand,Diners,best clothing brand
Nice clothes,Diners,nice clothes
Great,Diners,great
Good store for wears,Diners,good store for wears
Good stuff...,Diners,good stuff
Because here all the wearables are available of good quality and in normal price .,Diners,because here all the wearables are available of good quality and in normal price
cheap &  good stuff dtore,Diners,cheap good stuff dtore
Good collection,Diners,good collection
Pretty cool,Diners,pretty cool
This is simply Store for shopping,Diners,this is simply store for shopping
Products are good but costly. Prices should be reduced!,Diners,products are good but costly prices should be reduced
Well known brand with awsum quality utfit.....,Diners,well known brand with awsum quality utfit
Limited stocks,Diners,limited stocks
"Just another Diner Clothing Store Franchise in Bahawalpur, one interested in quality clothing should visit this store! I recommend this!",Diners,just another diner clothing store franchise in bahawalpur one interested in quality clothing should visit this store i recommend this
Customer oriented but check your budget before entering. Nice clothing available,Diners,customer oriented but check your budget before entering nice clothing available
One of the best brand for gents suiting... but it is heavy on pocket.,Diners,one of the best brand for gents suiting but it is heavy on pocket
Nice place,Diners,nice place
Nice but expensive clothes,Diners,nice but expensive clothes
They are one of leading clothing brands with entertaining variety,Diners,they are one of leading clothing brands with entertaining variety
Multi variety store.,Diners,multi variety store
Cloths shoping is now easy,Diners,cloths shoping is now easy
"A nice place for my taste, got what I was looking for- a simple jeans.",Diners,a nice place for my taste got what i was looking for a simple jeans
Nice,Diners,nice
Limited stock availability,Diners,limited stock availability
nice experience. thy have nice collection with high quality.,Diners,nice experience thy have nice collection with high quality
Loves to shop here always....,Diners,loves to shop here always
Nice staff behavior,Diners,nice staff behavior
Best collection full of range,Diners,best collection full of range
Diner a famous brand dealing in garments all range. Located at chowk Fawara Bahawalpur,Diners,diner a famous brand dealing in garments all range located at chowk fawara bahawalpur
Nice place,Diners,nice place
Good variety of clothes available with easy to approach location at Farawa chowk bwp.,Diners,good variety of clothes available with easy to approach location at farawa chowk bwp
Beautyfull and low price,Diners,beautyfull and low price
The brand which comfort you with excellent clothing abit experience.,Diners,the brand which comfort you with excellent clothing abit experience
Wide variety. During sale prices are reasonable,Diners,wide variety during sale prices are reasonable
Visited for Party wear but a very low collection.,Diners,visited for party wear but a very low collection
I always shop from there,Diners,i always shop from there
Best quality but high rates,Diners,best quality but high rates
"Very small collection of shoes, clothing is good.",Diners,very small collection of shoes clothing is good
Excellent customer service and almost all sort of clothing available,Diners,excellent customer service and almost all sort of clothing available
Because I get nice variety here,Diners,because i get nice variety here
Fine place with wide range and fine fabric,Diners,fine place with wide range and fine fabric
Good place to shop men's cloths,Diners,good place to shop mens cloths
Good products on one floor.,Diners,good products on one floor
Super store,Diners,super store
"Good stuff and variety of choices availble under one roof.
Qualty is good and also economialcal.",Diners,good stuff and variety of choices availble under one roof qualty is good and also economialcal
Very good store for men dressing near fwara chock,Diners,very good store for men dressing near fwara chock
Dinrs is absolutely world class fabric is sort and graceful,Diners,dinrs is absolutely world class fabric is sort and graceful
Much expensive poor quality so disappointed,Diners,much expensive poor quality so disappointed
Nice but costly brand shop,Diners,nice but costly brand shop
Good garments collection,Diners,good garments collection
Good clothes stuff available here,Diners,good clothes stuff available here
Good quality fabric at reasonable price,Diners,good quality fabric at reasonable price
Excellent quality with good number of variety...,Diners,excellent quality with good number of variety
Best place for garments shopping,Diners,best place for garments shopping
Good place fo garments,Diners,good place fo garments
Nice experience win diners clothing,Diners,nice experience win diners clothing
Not enough stuff but service is best.,Diners,not enough stuff but service is best
They have all the variety for all ages,Diners,they have all the variety for all ages
Quality of diner's are good,Diners,quality of diners are good
Verry high Price here,Diners,verry high price here
Nice,Diners,nice
I didn't like,Diners,i didnt like
Good suits but pricey.,Diners,good suits but pricey
"Good shop BUT be careful when u go to change or return ,their they behaviour is very irritating.",Diners,good shop but be careful when u go to change or return their they behaviour is very irritating
Best place for Shopping in BWP,Diners,best place for shopping in bwp
Good shop to purchase,Diners,good shop to purchase
Good,Diners,good
New articles  not available,Diners,new articles not available
"Costly as well as Counter guy is very rude. if you ask for some discount, he will be like you have asked for his kidney lol :p",Diners,costly as well as counter guy is very rude if you ask for some discount he will be like you have asked for his kidney lol p
Costly but Nice brand,Diners,costly but nice brand
Average designs,Diners,average designs
Kids brand,Diners,kids brand
Just amazing great,Diners,just amazing great
Good quality products.,Diners,good quality products
A good place for clothing.,Diners,a good place for clothing
Nice place for good choice,Diners,nice place for good choice
New collection,Diners,new collection
I love it,Diners,i love it
Nice place but things are little bit expensive,Diners,nice place but things are little bit expensive
Good but expencvie,Diners,good but expencvie
Good stuff.,Diners,good stuff
Excellent blazers,Diners,excellent blazers
Good place,Diners,good place
Good outlet,Diners,good outlet
Suiting is superb,Diners,suiting is superb
Nice,Diners,nice
It's ok,Diners,its ok
Good for shopping,Diners,good for shopping
Great shopping center,Diners,great shopping center
excellent stuff,Diners,excellent stuff
Top brand,Diners,top brand
Good place,Diners,good place
A super store,Diners,a super store
Expensive clothing,Diners,expensive clothing
Expensive but good.,Diners,expensive but good
Great,Diners,great
Nice clothing,Diners,nice clothing
Not so Good,Diners,not so good
A very costly place for shoping,Diners,a very costly place for shoping
Limited variety,Diners,limited variety
good but expensive store,Diners,good but expensive store
good expensive place,Diners,good expensive place
Cooporative Employees,Diners,cooporative employees
Good,Diners,good
Recommend,Diners,recommend
Good people,Diners,good people
Fine,Diners,fine
Nice store,Diners,nice store
Nice collection,Diners,nice collection
EXPENSIVE !!!!!!,Diners,expensive
FLOP,Diners,flop
Brand!,Diners,brand
Nice place for shopping,Diners,nice place for shopping
Good one,Diners,good one
Nice,Diners,nice
Cloth market,Diners,cloth market
Here you can buy standard garments.,Diners,here you can buy standard garments
High prices,Diners,high prices
Just a brand name,Diners,just a brand name
Decent collection,Diners,decent collection
Awesome,Diners,awesome
Very good,Diners,very good
Nice brand,Diners,nice brand
Good store,Diners,good store
Great experience,Diners,great experience
Nice,Diners,nice
Nice,Diners,nice
Quality is just average,Diners,quality is just average
Good place,Diners,good place
Brand store,Diners,brand store
Best services,Diners,best services
Nice mall...,Diners,nice mall
Costly,Diners,costly
Average,Diners,average
Expensive,Diners,expensive
Good,Diners,good
Expensive,Diners,expensive
Luxury,Diners,luxury
It's expensive,Diners,its expensive
Good,Diners,good
Value chain,Diners,value chain
Full of variety.,Diners,full of variety
Great size,Diners,great size
Nice shop,Diners,nice shop
Not impressive,Diners,not impressive
Nice store,Diners,nice store
Branded garments.,Diners,branded garments
Superb,Diners,superb
Expensive must buy in sale decent suiting,Diners,expensive must buy in sale decent suiting
Good shop,Diners,good shop
Average stuff on high price,Diners,average stuff on high price
Good Place,Diners,good place
Brand but it requires money,Diners,brand but it requires money
V nice,Diners,v nice
Wow,Diners,wow
Nice place for shopping. Reasonable rate with good variety,Edenrobe,nice place for shopping reasonable rate with good variety
Quality vise best place,Edenrobe,quality vise best place
"They have amazing clothes with AMAZING quality, especially women clothing. The prints and the material is very good. But the clothes are on the expensive side, not very budget friendly.",Edenrobe,they have amazing clothes with amazing quality especially women clothing the prints and the material is very good but the clothes are on the expensive side not very budget friendly
"A good brand for clothing in Bahawalpur. I really recommend you to buy winter clothes from here because winter collection of ACE is wonderful and the clothes are well refined, stitched. Again, I recommend to visit this place for buying winter clothes.
Appreciated!",Edenrobe,a good brand for clothing in bahawalpur i really recommend you to buy winter clothes from here because winter collection of ace is wonderful and the clothes are well refined stitched again i recommend to visit this place for buying winter clothes appreciated
Good,Edenrobe,good
Shop was good but they have very low articles.,Edenrobe,shop was good but they have very low articles
Awesome place for shopping. Good quality fabric available.,Edenrobe,awesome place for shopping good quality fabric available
Few of my items are only brought from this very place.... No matter where I live ... I manage to purchase from here,Edenrobe,few of my items are only brought from this very place no matter where i live i manage to purchase from here
Beautidul dresses. Wesome stuff. But high in prices,Edenrobe,beautidul dresses wesome stuff but high in prices
Well maintaimed place.. you can get good wearing options there..,Edenrobe,well maintaimed place you can get good wearing options there
"Expensive, visited with their good marketing but rarely bought anything.",Edenrobe,expensive visited with their good marketing but rarely bought anything
Good price and good stuff of garments and clothes,Edenrobe,good price and good stuff of garments and clothes
Great store to shop daily base shopping,Edenrobe,great store to shop daily base shopping
Nice place for shopping,Edenrobe,nice place for shopping
The shopping mall is located in the heart of city and garments are of excellent quality.,Edenrobe,the shopping mall is located in the heart of city and garments are of excellent quality
Good place for family season cloth shoping,Edenrobe,good place for family season cloth shoping
Good place for shoping,Edenrobe,good place for shoping
"Eden robe is one of the most popular and unique brand all over pakistan. There products are quite costly but the product is too good to wear, i love this brand for my one personal use. My experience with this product is very good, i feel really happy because the products have all the qualities among the other brands.",Edenrobe,eden robe is one of the most popular and unique brand all over pakistan there products are quite costly but the product is too good to wear i love this brand for my one personal use my experience with this product is very good i feel really happy because the products have all the qualities among the other brands
Good place for shopping,Edenrobe,good place for shopping
Good place  expensive as well. If you are going for kids shoes then itsnotthe right place.,Edenrobe,good place expensive as well if you are going for kids shoes then itsnotthe right place
Goos shoping place in bahawalpur,Edenrobe,goos shoping place in bahawalpur
Reasonable price and good staff,Edenrobe,reasonable price and good staff
Everything is right and fine.,Edenrobe,everything is right and fine
Quality of the product and first shopping place in Bahawalpur,Edenrobe,quality of the product and first shopping place in bahawalpur
I liked this brand,Edenrobe,i liked this brand
Good place for shopping,Edenrobe,good place for shopping
Best place to buy shirts and Kurtas,Edenrobe,best place to buy shirts and kurtas
Good place for shopping,Edenrobe,good place for shopping
I like it and purchase 3 casual shirts,Edenrobe,i like it and purchase casual shirts
One of the best clothing store in bahawalpur,Edenrobe,one of the best clothing store in bahawalpur
Good shipping point.,Edenrobe,good shipping point
Staff behaviour need to improve,Edenrobe,staff behaviour need to improve
Nice collection store,Edenrobe,nice collection store
Edenrobe was pretty good,Edenrobe,edenrobe was pretty good
Shopped some necessary items,Edenrobe,shopped some necessary items
Best place for garments shopping,Edenrobe,best place for garments shopping
Excellent Service and find best product in good price,Edenrobe,excellent service and find best product in good price
"You can find good beautiful stylish clothes here for kids and women, not good for men. Prices are too too much high. Ok on 50%.",Edenrobe,you can find good beautiful stylish clothes here for kids and women not good for men prices are too too much high ok on
Some one costly nice place,Edenrobe,some one costly nice place
Very Beautiful Shopping Center,Edenrobe,very beautiful shopping center
It's ok,Edenrobe,its ok
Good Choice,Edenrobe,good choice
"Had a great experience. Highly cooperative staff.
Excellent quality.",Edenrobe,had a great experience highly cooperative staff excellent quality
Good place to buy pants shirts & shalwar qameez,Edenrobe,good place to buy pants shirts shalwar qameez
Nice place for shopping,Edenrobe,nice place for shopping
Nice place,Edenrobe,nice place
Very good,Edenrobe,very good
Good,Edenrobe,good
Qaisar sb edenrob prince,Edenrobe,qaisar sb edenrob prince
