comments,brand_name
"A very nice store if the manager will be replaced because he have no clue of what customer service is.
He is very bad at temperament and ethics",Diners
"As good outlet as in big cities i.e Lahore Islamabad....
Staff need further trainings in my opinion...",Diners
"Diner store conatains very good stuff of clothes.
It also contains nice shoes.",Diners
Such A great Store in this Area,Diners
Best shirts and trousers available here.,Diners
good point,Diners
It's my first visit. It's looking a good place for shopping,Diners
Quality of stuff is just acceptable,Diners
"Nice place to visit,  quite a large verity for gents 2 piece & t-shirts.",Diners
It was good but the prices were high,Diners
I love this one,Diners
Three piece suit best place,Diners
Good for Clthing,Diners
Good bt costly products,Diners
Good quality and stuff,Diners
Best clothing brand,Diners
Nice clothes,Diners
Great,Diners
Good store for wears,Diners
Good stuff...,Diners
Because here all the wearables are available of good quality and in normal price .,Diners
cheap &  good stuff dtore,Diners
Good collection,Diners
Pretty cool,Diners
This is simply Store for shopping,Diners
Products are good but costly. Prices should be reduced!,Diners
Well known brand with awsum quality utfit.....,Diners
Limited stocks,Diners
"Just another Diner Clothing Store Franchise in Bahawalpur, one interested in quality clothing should visit this store! I recommend this!",Diners
Customer oriented but check your budget before entering. Nice clothing available,Diners
One of the best brand for gents suiting... but it is heavy on pocket.,Diners
Nice place,Diners
Nice but expensive clothes,Diners
They are one of leading clothing brands with entertaining variety,Diners
Multi variety store.,Diners
Cloths shoping is now easy,Diners
"A nice place for my taste, got what I was looking for- a simple jeans.",Diners
Nice,Diners
Limited stock availability,Diners
nice experience. thy have nice collection with high quality.,Diners
Loves to shop here always....,Diners
Nice staff behavior,Diners
Best collection full of range,Diners
Diner a famous brand dealing in garments all range. Located at chowk Fawara Bahawalpur,Diners
Nice place,Diners
Good variety of clothes available with easy to approach location at Farawa chowk bwp.,Diners
Beautyfull and low price,Diners
The brand which comfort you with excellent clothing abit experience.,Diners
Wide variety. During sale prices are reasonable,Diners
Visited for Party wear but a very low collection.,Diners
I always shop from there,Diners
Best quality but high rates,Diners
"Very small collection of shoes, clothing is good.",Diners
Excellent customer service and almost all sort of clothing available,Diners
Because I get nice variety here,Diners
Fine place with wide range and fine fabric,Diners
Good place to shop men's cloths,Diners
Good products on one floor.,Diners
Super store,Diners
"Good stuff and variety of choices availble under one roof.
Qualty is good and also economialcal.",Diners
Very good store for men dressing near fwara chock,Diners
Dinrs is absolutely world class fabric is sort and graceful,Diners
Much expensive poor quality so disappointed,Diners
Nice but costly brand shop,Diners
Good garments collection,Diners
Good clothes stuff available here,Diners
Good quality fabric at reasonable price,Diners
Excellent quality with good number of variety...,Diners
Best place for garments shopping,Diners
Good place fo garments,Diners
Nice experience win diners clothing,Diners
Not enough stuff but service is best.,Diners
They have all the variety for all ages,Diners
Quality of diner's are good,Diners
Verry high Price here,Diners
Nice,Diners
I didn't like,Diners
Good suits but pricey.,Diners
"Good shop BUT be careful when u go to change or return ,their they behaviour is very irritating.",Diners
Best place for Shopping in BWP,Diners
Good shop to purchase,Diners
Good,Diners
New articles  not available,Diners
"Costly as well as Counter guy is very rude. if you ask for some discount, he will be like you have asked for his kidney lol :p",Diners
Costly but Nice brand,Diners
Average designs,Diners
Kids brand,Diners
Just amazing great,Diners
Good quality products.,Diners
A good place for clothing.,Diners
Nice place for good choice,Diners
New collection,Diners
I love it,Diners
Nice place but things are little bit expensive,Diners
Good but expencvie,Diners
Good stuff.,Diners
Excellent blazers,Diners
Good place,Diners
Good outlet,Diners
Suiting is superb,Diners
Nice,Diners
It's ok,Diners
Good for shopping,Diners
Great shopping center,Diners
excellent stuff,Diners
Top brand,Diners
Good place,Diners
A super store,Diners
Expensive clothing,Diners
Expensive but good.,Diners
Great,Diners
Nice clothing,Diners
Not so Good,Diners
A very costly place for shoping,Diners
Limited variety,Diners
good but expensive store,Diners
good expensive place,Diners
Cooporative Employees,Diners
Good,Diners
Recommend,Diners
Good people,Diners
Fine,Diners
Nice store,Diners
Nice collection,Diners
EXPENSIVE !!!!!!,Diners
FLOP,Diners
Brand!,Diners
Nice place for shopping,Diners
Good one,Diners
Nice,Diners
Cloth market,Diners
Here you can buy standard garments.,Diners
High prices,Diners
Just a brand name,Diners
Decent collection,Diners
Awesome,Diners
Very good,Diners
Nice brand,Diners
Good store,Diners
Great experience,Diners
Nice,Diners
Nice,Diners
Quality is just average,Diners
Good place,Diners
Brand store,Diners
Best services,Diners
Nice mall...,Diners
Costly,Diners
Average,Diners
Expensive,Diners
Good,Diners
Expensive,Diners
Luxury,Diners
It's expensive,Diners
Good,Diners
Value chain,Diners
Full of variety.,Diners
Great size,Diners
Nice shop,Diners
Not impressive,Diners
Nice store,Diners
Branded garments.,Diners
Superb,Diners
Expensive must buy in sale decent suiting,Diners
Good shop,Diners
Average stuff on high price,Diners
Good Place,Diners
Brand but it requires money,Diners
V nice,Diners
Wow,Diners
Nice place for shopping. Reasonable rate with good variety,Edenrobe
Quality vise best place,Edenrobe
"They have amazing clothes with AMAZING quality, especially women clothing. The prints and the material is very good. But the clothes are on the expensive side, not very budget friendly.",Edenrobe
"A good brand for clothing in Bahawalpur. I really recommend you to buy winter clothes from here because winter collection of ACE is wonderful and the clothes are well refined, stitched. Again, I recommend to visit this place for buying winter clothes.
Appreciated!",Edenrobe
Good,Edenrobe
Shop was good but they have very low articles.,Edenrobe
Awesome place for shopping. Good quality fabric available.,Edenrobe
Few of my items are only brought from this very place.... No matter where I live ... I manage to purchase from here,Edenrobe
Beautidul dresses. Wesome stuff. But high in prices,Edenrobe
Well maintaimed place.. you can get good wearing options there..,Edenrobe
"Expensive, visited with their good marketing but rarely bought anything.",Edenrobe
Good price and good stuff of garments and clothes,Edenrobe
Great store to shop daily base shopping,Edenrobe
Nice place for shopping,Edenrobe
The shopping mall is located in the heart of city and garments are of excellent quality.,Edenrobe
Good place for family season cloth shoping,Edenrobe
Good place for shoping,Edenrobe
"Eden robe is one of the most popular and unique brand all over pakistan. There products are quite costly but the product is too good to wear, i love this brand for my one personal use. My experience with this product is very good, i feel really happy because the products have all the qualities among the other brands.",Edenrobe
Good place for shopping,Edenrobe
Good place  expensive as well. If you are going for kids shoes then itsnotthe right place.,Edenrobe
Goos shoping place in bahawalpur,Edenrobe
Reasonable price and good staff,Edenrobe
Everything is right and fine.,Edenrobe
Quality of the product and first shopping place in Bahawalpur,Edenrobe
I liked this brand,Edenrobe
Good place for shopping,Edenrobe
Best place to buy shirts and Kurtas,Edenrobe
Good place for shopping,Edenrobe
I like it and purchase 3 casual shirts,Edenrobe
One of the best clothing store in bahawalpur,Edenrobe
Good shipping point.,Edenrobe
Staff behaviour need to improve,Edenrobe
Nice collection store,Edenrobe
Edenrobe was pretty good,Edenrobe
Shopped some necessary items,Edenrobe
Best place for garments shopping,Edenrobe
Excellent Service and find best product in good price,Edenrobe
"You can find good beautiful stylish clothes here for kids and women, not good for men. Prices are too too much high. Ok on 50%.",Edenrobe
Some one costly nice place,Edenrobe
Very Beautiful Shopping Center,Edenrobe
It's ok,Edenrobe
Good Choice,Edenrobe
"Had a great experience. Highly cooperative staff.
Excellent quality.",Edenrobe
Good place to buy pants shirts & shalwar qameez,Edenrobe
Nice place for shopping,Edenrobe
Nice place,Edenrobe
Very good,Edenrobe
Good,Edenrobe
Qaisar sb edenrob prince,Edenrobe
Outstanding quality,Edenrobe
Expensive,Edenrobe
Shoping place garments etc,Edenrobe
Male kurtas variety is eexcellent,Edenrobe
Nice shop with different clothes categories.,Edenrobe
I m loving it. Good place for shopping,Edenrobe
"It is present inside ACE shopping mall ,Eden robe is one of the pioneers of branded clothing in bahawalpur and now it has attained a fame as now they have complete range of cultural and western styled clothes ,it provides best fabric with large range of variety and is popular among the residents of town",Edenrobe
Nice shopping mall for clothes and everything,Edenrobe
"Good quality jersies, upper and everything you want for men women and kids",Edenrobe
Good and quality stuff at medium price range....,Edenrobe
Very nice mall in bahawalpur,Edenrobe
"Everything in Edenrobe was superb.
Quality is also very good",Edenrobe
Funtastic place to do shopping having all items related child and women and man shopping,Edenrobe
Outstanding quality,Edenrobe
Expensive,Edenrobe
Male kurtas variety is eexcellent,Edenrobe
Nice shop with different clothes categories.,Edenrobe
I m loving it. Good place for shopping,Edenrobe
Nice shopping mall for clothes and everything,Edenrobe
"Good quality jersies, upper and everything you want for men women and kids",Edenrobe
Good and quality stuff at medium price range....,Edenrobe
Very nice mall in bahawalpur,Edenrobe
"Everything in Edenrobe was superb.
Quality is also very good",Edenrobe
Funtastic place to do shopping having all items related child and women and man shopping,Edenrobe
One of the best shopping area of city,Edenrobe
Such a good shoping mall with reasonable price. 5 star rating,Edenrobe
Nice place,Edenrobe
Best place for shopping ,Edenrobe
"I like their  shalwar suit, good clothing stuff with nice stitching",Edenrobe
"Excellent quality of stuff,designing n specialy tailoring",Edenrobe
local products in a plaza,Edenrobe
Good for clothes and for women there is a whole bunch of makeup selection area,Edenrobe
Lovely place for shoping,Edenrobe
They always have Wrost collection every season so dont go there.,Edenrobe
Good,Edenrobe
Good for apparels and stitched suiting variety both for ethnic n suiting lovers,Edenrobe
good quality products,Edenrobe
Good choice for shoping,Edenrobe
Nice place to shop brands,Edenrobe
Decent shopping complex.,Edenrobe
Awesome staff and clothes. Class of legacy,Edenrobe
Great place for shopping fashion garments for all seasons,Edenrobe
Best place for wedding shopping,Edenrobe
Avg,Edenrobe
Good varieties of all types of clothes.,Edenrobe
Best Shopping Mall in bahawalpur,Edenrobe
It was a wonderful place for shopping,Edenrobe
Beautiful place,Edenrobe
Good stuff but expensive,Edenrobe
Good departmental store,Edenrobe
Good place for shopping,Edenrobe
So much pricy. Should visit bissino or J.,Edenrobe
Nice place for shopping,Edenrobe
GOOD PLACE,Edenrobe
Love to visit again,Edenrobe
I have always loved shopping here,Edenrobe
Best pace for shopping,Edenrobe
Price high but quality is good,Edenrobe
Good shopping mall,Edenrobe
Good place for shopping,Edenrobe
"Fabric is absolutelyl soft and  graceful
Thank",Edenrobe
Clothing western and traditional,Edenrobe
Good to shop garments for whole family,Edenrobe
Good varieties of Ace are present here.,Edenrobe
Nice but expensive,Edenrobe
"It was not outstanding, but good",Edenrobe
Nice,Edenrobe
Costly,Edenrobe
Bad experience,Edenrobe
Cool place,Edenrobe
Amazing mall,Edenrobe
Nice cloth quality,Edenrobe
Good,Edenrobe
Awesome,Edenrobe
Bit expensive though,Edenrobe
Good mall,Edenrobe
It's okay,Edenrobe
Good quality product,Edenrobe
Nice,Edenrobe
Nice stuff and variety,Edenrobe
Nice brand,Edenrobe
Best for price and quality,Edenrobe
Good brand quality stuff,Edenrobe
Good,Edenrobe
Good but expensive,Edenrobe
Located inside ACE Bahawalpur a little bit expensive,Edenrobe
It's mostly off 30 to 50 %,Edenrobe
Best for shopping,Edenrobe
It was ok.,Edenrobe
Best clothes.,Edenrobe
Nice place,Edenrobe
Good  for  shopping,Edenrobe
Too costly..,Edenrobe
Good environment,Edenrobe
Good one,Edenrobe
Nice sooting but costly,Edenrobe
Nice place,Edenrobe
Awesome Quality,Edenrobe
shopping was good,Edenrobe
Everthing is available on ace,Edenrobe
Good to buy in winter,Edenrobe
Excellent variety of clothes for all ages,Edenrobe
nice place for shoping,Edenrobe
Moderate,Edenrobe
Excellent !,Edenrobe
Best place for shoping,Edenrobe
Excellent,Edenrobe
Good,Edenrobe
Good stuff compared to price,Edenrobe
Nice dressing variety,Edenrobe
Good shopping place,Edenrobe
Worth shopping place,Edenrobe
its good,Edenrobe
Good shoping place,Edenrobe
Good collection,Edenrobe
Good place to shop,Edenrobe
Good place,Edenrobe
Good Experience,Edenrobe
Quality,Edenrobe
Good,Edenrobe
Nice,Edenrobe
Love to shop,Edenrobe
For Brand lovers,Edenrobe
All in one,Edenrobe
For quality shopping,Edenrobe
Reasonable price fabulous variety,Edenrobe
Ace Good&wonderfull,Edenrobe
Wow shop,Edenrobe
Fit dresses,Edenrobe
Good,Edenrobe
Good,Edenrobe
Expensive,Edenrobe
Good,Edenrobe
Average type,Edenrobe
Brands,Edenrobe
Good,Edenrobe
Brand store,Edenrobe
god,Edenrobe
Good place,Edenrobe
good,Edenrobe
Below Satisfaction,Edenrobe
Hit!!!,Edenrobe
Ok,Edenrobe
Good,Edenrobe
Good,Edenrobe
Worst customer service ever,Edenrobe
Nice place.,Edenrobe
Good,Edenrobe
fine,Edenrobe
Good stuff,Edenrobe
Medium type of dressing and other articles.,Edenrobe
expensive..but quality,Edenrobe
Nice store,Edenrobe
Normal quality with too much prices.,Edenrobe
Good,Edenrobe
Finely stitched,Edenrobe
Best place for clothing but expensive,Edenrobe
Nice place for shopping,Edenrobe
Variety of cloths of Men's and Kids.,Edenrobe
Very good,Edenrobe
"Clothing store
Decent collection",Edenrobe
Nice Shoping Mall,Edenrobe
Decent collection,Edenrobe
Style,Edenrobe
Garments good option,Edenrobe
Fine,Edenrobe
Everything at one place,Edenrobe
Not good stuff for XXL,Edenrobe
Everything's available,Edenrobe
Quality variety of cloths,Edenrobe
Nice shoping center,Edenrobe
Ok type place. With little variety and high prices,Edenrobe
Lovely awesome,Edenrobe
Good,Edenrobe
Best,Edenrobe
Too costly except few items,Edenrobe
having all seasons stuff and very costly shopping mall in the town.quality service.,Edenrobe
good,Edenrobe
"it,s a one of best clothing brand for office suits.",Edenrobe
A shop with good quality and price,engine
"Good shop for kids, youth and middle aged generation... Staff and Manager are very helpful",engine
"I bought a winter shirt with quality stuff, prices r reasonable, dealing is very well but articles are limited overall gud experience.",engine
Good service,engine
I love that paints.,engine
Good place for shopping,engine
Rates are reasonable,engine
â¤,engine
good as dealing well,engine
Its ok,engine
Good,engine
Lack of articals but overall a gud experience there,engine
Discounted rates with limited stock.,engine
Good one staff Is very Good,engine
Affordable brand and good quality garments,engine
Good place fir shopping,engine
Always a great experience,engine
Their sales are good.,engine
"Awsome designes.
Their sale strategy is better than others.
Staff is cooperative and designes are not repeated in next season. Sizes and fabric are perfect.",engine
Just ok,engine
Nice,engine
Awesome Clothes,engine
Good quality stuff,engine
Nice,engine
Worth to visit,engine
Awesome,engine
Good,engine
Not a good cloths for choice.,engine
Great,engine
Normal standard,engine
The service was nice and the workers were pleasant,FactoryPrice
Good place for shopping ... good products with medium range price,FactoryPrice
Nice place for purchas the shirts trozers shorts in economy price,FactoryPrice
quality is good..,FactoryPrice
The clothes quality is good.,FactoryPrice
Best in town,FactoryPrice
"Fantastic shopping mall is here
I realized that after my yesterday busy
Staff is very friendly and honest",FactoryPrice
Sky touching prices. No place for try. No washroom. Product on sale was of low quality. Never recommend.,FactoryPrice
Good ,FactoryPrice
Nice and cheap in some case,FactoryPrice
Substandard garments and high price tags.,FactoryPrice
Garments are in Variety.,FactoryPrice
Extremely expensive!!,FactoryPrice
Nice shopping place,FactoryPrice
Ready to wear clothes,FactoryPrice
This is Best,FactoryPrice
Factory price shop,FactoryPrice
Very good location....almost all brands within 100 meter range...staff is friendly...sometimes lacks latest articles...,Ideas
Good but quality of fabric is on lower side,Ideas
Ideas fan,Ideas
Variety of sritch and unstitch expensive clothes,Ideas
I like this brand gull ahmad,Ideas
Nice,Ideas
Nice place to shop,Ideas
Expensive but top quality products,Ideas
It's low in quality as compare to prices,Ideas
Customer dealing is very bad now,Ideas
Good,Ideas
A place for brand conscious people,Ideas
Nice,Ideas
Nice,Ideas
Best,Ideas
Fantastic,Ideas
Clothing shop,Ideas
Fine,Ideas
Nice place,Ideas
Staff was rude when we were asking size.Rates were not affordable.,Ideas
Great experience. Amazing products at reasonable sale price.,jdot
Very well maintained outlet.,jdot
A very good collection for male and female. Must visit for Eid shopping,jdot
It's always good for me to visit Junaid jamshed. Thank you J.,jdot
"Very nice store having all kinds of clothes from baby to baba , ladies and gents collection.",jdot
Have good experience but not much stuff.They have limited stock.,jdot
"Beautiful looking but too expensive
Products are brand no doubt
I love it",jdot
Best perfumes. Matchless fragrances,jdot
Good place for perfume lover and  standard cosmetic  overall nice,jdot
Best in terms of clothing.,jdot
"One of staff person was very rude, he snatched away clothes from me, pathetic customer service.",jdot
"Overpriced, expensive and rates are high without any reason.
Brands in neighborhood are much more economical and better in both quality and prints.",jdot
Nice staff  nice stuff can purchase every type of gents and ladies staff,jdot
Flat 40% sale going on.. It's good,jdot
"Hmmm Good
But costly",jdot
Better but expansive,jdot
Everything is fine.Need improvement in management,jdot
Buy only during sales :) otherwise you will regret it when sale comes.,jdot
very lazy staff.  very pushy,jdot
Good Place to shop especially in Sales,jdot
"Beautiful    dresses but
Sale  should be   available  every  month",jdot
Friendly and cooperative staff with latest articles avaialable every season,jdot
"Amazing collection center,  i will come back soon ",jdot
Love this place,jdot
Good environment and strict adherence to the SOPs.,jdot
awesome branch,jdot
Never found good quality. 90's stuff suits.,jdot
Unique and good quality stuff 9/10,jdot
Please remove contact num if u donâ€™t have any time to pick the call,jdot
This place is really amazing regarding the clothes. Style is their trademark and ofcource quality. I love their fragrances also.,jdot
"Good pakistani clothing. Casual, formal and wedding. Perfumes are excellent.
Upper floor ladies section can get uncomfortably hot in summer ( AC usually turned off).",jdot
Nice clothes,jdot
good and simple dresses and fine quality,jdot
Nothing more to say,jdot
Nice for cultural wears but size issue is always there problem,jdot
A variety of stitched and un-stitched dresses here for gents and ladies. Price is also reasonable. Staff is very cooperative. Some items are very special but cost is high. Perfumes are also very nice.,jdot
ðŸ˜•ðŸ˜•ðŸ˜•I am constantly trying to contact you but I am not getting any response. Kindly contact me i have a problem and i have very little time ðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“,jdot
Best place.....mazaay if u catch a sale of 50percent. Winter cloths are outstanding,jdot
