comments,brand_name,cleaned_comment,sentiment,date
"I had visited the outlet a weak before sale, suppose if a shirt was of 1000 than is now @ 800 & sale tag claiming 30% off... Does that make some sense???",Breakout,i had visited the outlet a weak before sale suppose if a shirt was of than is now sale tag claiming off does that make some sense,Negative,15/01/2024
Nice Place for shopping,Breakout,nice place for shopping,Positive,27/02/2024
Not much variety of jeans,Breakout,not much variety of jeans,Negative,06/02/2024
Fevourite brand,Breakout,fevourite brand,Neutral,26/02/2024
Do shopping and save,Breakout,do shopping and save,Neutral,11/03/2024
Nice,Breakout,nice,Positive,14/02/2024
Good shop,Breakout,good shop,Positive,21/01/2024
Good,Breakout,good,Positive,06/02/2024
Good,Breakout,good,Positive,09/03/2024
Good but prices are a little bit high.,Charcol,good but prices are a little bit high,Positive,03/01/2024
GreAt place of shopping,Charcol,great place of shopping,Positive,26/02/2024
Awesome brand.. Good Quality,Charcol,awesome brand good quality,Positive,12/02/2024
"Love to visit charcoal outlet
Quality is always according to expectation",Charcol,love to visit charcoal outlet quality is always according to expectation,Positive,12/01/2024
Very High prices. Just a shirt for PKR 3600.,Charcol,very high prices just a shirt for pkr,Positive,11/02/2024
Shirt quility is v good,Charcol,shirt quility is v good,Positive,02/01/2024
Flat off these days,Charcol,flat off these days,Negative,23/03/2024
Limited edition,Charcol,limited edition,Negative,15/01/2024
A great brand for formal suiting specially this branch's staff behavior is really awesome.,Charcol,a great brand for formal suiting specially this branchs staff behavior is really awesome,Positive,20/03/2024
Products are well but some expensive,Charcol,products are well but some expensive,Negative,27/02/2024
Less variety as compared to other Charcoal outlet but manageable. Fairly priced and cooperative staff.,Charcol,less variety as compared to other charcoal outlet but manageable fairly priced and cooperative staff,Positive,06/02/2024
In bwp charcoal has outdated stock photography,Charcol,in bwp charcoal has outdated stock photography,Negative,04/01/2024
"Excellent quality of fabric, stitching and design, but the prices have almost doubled as compared to last year.",Charcol,excellent quality of fabric stitching and design but the prices have almost doubled as compared to last year,Positive,04/03/2024
gentle man place,Charcol,gentle man place,Positive,01/01/2024
Recommended for men's wear,Charcol,recommended for mens wear,Neutral,11/02/2024
Fabric Quality is good. Nice if u r looking for formal suiting,Charcol,fabric quality is good nice if u r looking for formal suiting,Positive,19/01/2024
It was good as there was 20%sale,Charcol,it was good as there was sale,Positive,10/03/2024
Good quality clothing,Charcol,good quality clothing,Positive,18/02/2024
Quality is good but prices are also higher,Charcol,quality is good but prices are also higher,Positive,09/01/2024
Quality and good stuff,Charcol,quality and good stuff,Positive,03/02/2024
Charcoal is very nice brand. I think little bit costly.,Charcol,charcoal is very nice brand i think little bit costly,Positive,12/01/2024
they have good fabric garments.,Charcol,they have good fabric garments,Positive,17/02/2024
There is no any contact number.,Charcol,there is no any contact number,Neutral,13/02/2024
Outclass,Charcol,outclass,Neutral,29/03/2024
Costly but Nice brand,Charcol,costly but nice brand,Positive,16/03/2024
Nice for colthes,Charcol,nice for colthes,Positive,21/01/2024
A device store,Charcol,a device store,Neutral,09/01/2024
Good but expensive clothes,Charcol,good but expensive clothes,Positive,26/03/2024
Rates are very high.,Charcol,rates are very high,Positive,02/01/2024
Nice formal dresses,Charcol,nice formal dresses,Positive,22/02/2024
Nice Fabric Charcoal,Charcol,nice fabric charcoal,Positive,09/03/2024
Nice shop,Charcol,nice shop,Positive,14/03/2024
Nice place.,Charcol,nice place,Positive,21/02/2024
Too expensive suits,Charcol,too expensive suits,Negative,22/02/2024
good one,Charcol,good one,Positive,01/03/2024
Good,Charcol,good,Positive,03/02/2024
Men clothing,Charcol,men clothing,Neutral,31/03/2024
good,Charcol,good,Positive,07/03/2024
Good in quality,Charcol,good in quality,Positive,19/02/2024
Super,Charcol,super,Positive,01/02/2024
Good quality,Charcol,good quality,Positive,18/01/2024
Good variety,Charcol,good variety,Positive,07/01/2024
Brand wears very costly and fine,Charcol,brand wears very costly and fine,Positive,11/03/2024
Great,Charcol,great,Positive,09/02/2024
An average shop,Charcol,an average shop,Negative,16/03/2024
Clothing,Charcol,clothing,Neutral,07/03/2024
Excellent,Charcol,excellent,Positive,07/02/2024
Good,ChenOne,good,Positive,17/02/2024
This was amazing place.,ChenOne,this was amazing place,Positive,09/03/2024
Good Mall...,ChenOne,good mall,Positive,17/03/2024
It was one of my fav malls when it was growing to it's maturity,ChenOne,it was one of my fav malls when it was growing to its maturity,Neutral,28/03/2024
I found it better than many other shopping malls in the city even today and since its inauguration,ChenOne,i found it better than many other shopping malls in the city even today and since its inauguration,Positive,15/03/2024
Very nice store,ChenOne,very nice store,Positive,28/02/2024
Very supportive staff. Satisfied with dealing with customer.,ChenOne,very supportive staff satisfied with dealing with customer,Positive,10/02/2024
Good store for kids dresses,ChenOne,good store for kids dresses,Positive,27/02/2024
one of my favorite brand..,ChenOne,one of my favorite brand,Positive,26/03/2024
You can get clothing and home decor on discounted prices,ChenOne,you can get clothing and home decor on discounted prices,Neutral,19/01/2024
I liked this brand,ChenOne,i liked this brand,Positive,11/02/2024
Quality of shopping and great addition in the city and first chain of business,ChenOne,quality of shopping and great addition in the city and first chain of business,Positive,14/01/2024
Best local brand with International standards. expensive one,ChenOne,best local brand with international standards expensive one,Positive,31/03/2024
It is a nice shopping area with decent atmosphere. The quality of garments is out class,ChenOne,it is a nice shopping area with decent atmosphere the quality of garments is out class,Positive,02/02/2024
"good place to shop
staff is cooperative",ChenOne,good place to shop staff is cooperative,Positive,14/02/2024
Good place for window shopping.,ChenOne,good place for window shopping,Positive,08/01/2024
Good shopping point.,ChenOne,good shopping point,Positive,28/02/2024
Ideal for whenever i need to park my car while on the go!,ChenOne,ideal for whenever i need to park my car while on the go,Positive,21/01/2024
Not much productive store in terms of variety as compared to other outlets,ChenOne,not much productive store in terms of variety as compared to other outlets,Negative,12/03/2024
I love this shop .all branded available,ChenOne,i love this shop all branded available,Positive,07/03/2024
Amazing collection and quality products. My favorites place to shop,ChenOne,amazing collection and quality products my favorites place to shop,Positive,28/03/2024
Nice shopping place,ChenOne,nice shopping place,Positive,09/01/2024
Good place for Shoping,ChenOne,good place for shoping,Positive,17/03/2024
"Well known clothing, bedding and furniture outlet. If you have lot of money to waste, you can waist here bcoz all the products here are so good. Prices are too much high even on 50% discount it seems higher.",ChenOne,well known clothing bedding and furniture outlet if you have lot of money to waste you can waist here bcoz all the products here are so good prices are too much high even on discount it seems higher,Positive,03/01/2024
It's ok,ChenOne,its ok,Positive,19/02/2024
Good product but much expansive,ChenOne,good product but much expansive,Positive,15/01/2024
Nice place,ChenOne,nice place,Positive,05/02/2024
Nice place for shopping,ChenOne,nice place for shopping,Positive,31/01/2024
Unnecessarily expensive,ChenOne,unnecessarily expensive,Negative,04/03/2024
Nice place for shopping,ChenOne,nice place for shopping,Positive,09/03/2024
Expensive but better stuff,ChenOne,expensive but better stuff,Neutral,05/01/2024
Good,ChenOne,good,Positive,10/02/2024
Good one!,ChenOne,good one,Positive,02/03/2024
Good place to have some shopping,ChenOne,good place to have some shopping,Positive,07/03/2024
Good to visit,ChenOne,good to visit,Positive,06/02/2024
Quality items and reasonable prices.,ChenOne,quality items and reasonable prices,Positive,05/03/2024
Good,ChenOne,good,Positive,24/02/2024
Nice great,ChenOne,nice great,Positive,05/01/2024
Good shoping place but expensive,ChenOne,good shoping place but expensive,Positive,21/03/2024
Yeah its cool shopping there,ChenOne,yeah its cool shopping there,Positive,14/01/2024
Product are reliable but prices are too much high,ChenOne,product are reliable but prices are too much high,Positive,10/03/2024
Nice place for shopping related to required babay and families shopping,ChenOne,nice place for shopping related to required babay and families shopping,Positive,12/01/2024
they are nice but not infirming about online orders.,ChenOne,they are nice but not infirming about online orders,Positive,15/03/2024
Competitive and elegant setup,ChenOne,competitive and elegant setup,Positive,30/03/2024
not good experience,ChenOne,not good experience,Negative,10/01/2024
Nice place. On Chen One brand atoms are availables.,ChenOne,nice place on chen one brand atoms are availables,Positive,27/01/2024
Chen one was the first brands outlet mall in sargodha.  And now it is a shopping centre with almost all major clothing and other essential shops.  Mini so jas opened it's outlet recently.  A good place!,ChenOne,chen one was the first brands outlet mall in sargodha and now it is a shopping centre with almost all major clothing and other essential shops mini so jas opened its outlet recently a good place,Positive,16/03/2024
Good,ChenOne,good,Positive,09/02/2024
"I dont know why this shop exist, i haven't heard any good thing about it. Even they didn't have sweaters and jackets in winter. But technology there is impressive",ChenOne,i dont know why this shop exist i havent heard any good thing about it even they didnt have sweaters and jackets in winter but technology there is impressive,Positive,11/01/2024
Too much expensive as compared to products value,ChenOne,too much expensive as compared to products value,Negative,04/03/2024
Satisfied,ChenOne,satisfied,Positive,19/01/2024
This is the best shopping mall in bwp.,ChenOne,this is the best shopping mall in bwp,Positive,11/01/2024
Best place for family shopping.,ChenOne,best place for family shopping,Positive,31/03/2024
Great,ChenOne,great,Positive,02/01/2024
Chenone is one of the most expensive and good brand,ChenOne,chenone is one of the most expensive and good brand,Positive,04/01/2024
Great experience,ChenOne,great experience,Positive,05/02/2024
Nice place,ChenOne,nice place,Positive,31/01/2024
Great place with variety of options,ChenOne,great place with variety of options,Positive,26/03/2024
nice collection for men dressing,ChenOne,nice collection for men dressing,Positive,02/02/2024
Really Loved it,ChenOne,really loved it,Positive,14/03/2024
Good place,ChenOne,good place,Positive,14/01/2024
all the things are found here,ChenOne,all the things are found here,Neutral,20/03/2024
The mall is soo good,ChenOne,the mall is soo good,Positive,05/01/2024
"Good stuff, designs and variety",ChenOne,good stuff designs and variety,Positive,03/02/2024
A reasonably good store of Chen one in bahawal pur,ChenOne,a reasonably good store of chen one in bahawal pur,Positive,08/01/2024
Prices are quite high for outfits though stuff is also compromised.,ChenOne,prices are quite high for outfits though stuff is also compromised,Positive,07/03/2024
Very nice place for cloths shopping,ChenOne,very nice place for cloths shopping,Positive,08/01/2024
"One the worst brand as per quality of the products , had bought some stuff from it but after a month it got faded, and upon asking they told sir this was in black colour and as you know black got faded.",ChenOne,one the worst brand as per quality of the products had bought some stuff from it but after a month it got faded and upon asking they told sir this was in black colour and as you know black got faded,Negative,14/01/2024
A good place to shop nice quality Clothes and fashion stuff,ChenOne,a good place to shop nice quality clothes and fashion stuff,Positive,23/01/2024
Complete store all vriety,ChenOne,complete store all vriety,Positive,11/02/2024
This brand is going down day by day in term of business,ChenOne,this brand is going down day by day in term of business,Negative,04/02/2024
Very cheap,ChenOne,very cheap,Positive,02/01/2024
Mens wearing got too many choices,ChenOne,mens wearing got too many choices,Positive,03/01/2024
Quality,ChenOne,quality,Neutral,17/01/2024
Bridal thing avialable in less price,ChenOne,bridal thing avialable in less price,Negative,15/01/2024
Located in MTA increases the grace of city,ChenOne,located in mta increases the grace of city,Neutral,03/02/2024
gentle man choice,ChenOne,gentle man choice,Positive,26/01/2024
Nice place,ChenOne,nice place,Positive,16/02/2024
Good for shopping of clothes and apperall,ChenOne,good for shopping of clothes and apperall,Positive,10/02/2024
A good place to shop.,ChenOne,a good place to shop,Positive,23/03/2024
Nice things on discounted rates,ChenOne,nice things on discounted rates,Positive,05/03/2024
Fabric and quality is outstanding,ChenOne,fabric and quality is outstanding,Positive,17/02/2024
Side py hy baki brands k sth hona chaheay,ChenOne,side py hy baki brands k sth hona chaheay,Neutral,29/03/2024
Great opportunity for shopping,ChenOne,great opportunity for shopping,Positive,04/01/2024
this shop is wonderfull,ChenOne,this shop is wonderfull,Neutral,27/01/2024
Posh shopping mall in Bahawalpur,ChenOne,posh shopping mall in bahawalpur,Neutral,04/02/2024
Excellent,ChenOne,excellent,Positive,03/01/2024
Awesome,ChenOne,awesome,Positive,19/02/2024
Price high but quality is awesome,ChenOne,price high but quality is awesome,Positive,03/03/2024
Nice shopping Mall with affordable prices.,ChenOne,nice shopping mall with affordable prices,Positive,29/02/2024
Very good.  Best,ChenOne,very good best,Positive,20/01/2024
Good store for shopping. Many brands available,ChenOne,good store for shopping many brands available,Positive,15/02/2024
Good place and we'll maintained outlet,ChenOne,good place and well maintained outlet,Positive,23/02/2024
Brand shop with good quality stuff.,ChenOne,brand shop with good quality stuff,Positive,25/01/2024
They no variety compared to the branches of lahore and multan,ChenOne,they no variety compared to the branches of lahore and multan,Neutral,16/03/2024
I will not recomend,ChenOne,i will not recomend,Neutral,15/03/2024
Good place for shopping,ChenOne,good place for shopping,Positive,24/01/2024
Shopping mall and best food available here,ChenOne,shopping mall and best food available here,Positive,11/01/2024
i had a good experience with this outlet. The staff was cooperative.,ChenOne,i had a good experience with this outlet the staff was cooperative,Positive,29/03/2024
It is a good shopping mall.,ChenOne,it is a good shopping mall,Positive,01/02/2024
Standard but high prices as compared to stuff and design,ChenOne,standard but high prices as compared to stuff and design,Positive,20/03/2024
Great place. Good variety,ChenOne,great place good variety,Positive,28/03/2024
Its really bad quality there now.,ChenOne,its really bad quality there now,Negative,02/02/2024
being a regular customer i visited Chen one with family 2 days ago and it turned into a shame when the stupid and drunk security guard humiliated me with his horrible and threatening attitude over  parking issue that was't my fault at all.,ChenOne,being a regular customer i visited chen one with family days ago and it turned into a shame when the stupid and drunk security guard humiliated me with his horrible and threatening attitude over parking issue that wast my fault at all,Negative,18/02/2024
Good place for Shopping ,ChenOne,good place for shopping,Positive,29/02/2024
Average clothes and over priced. Sometimes quality is very bad.,ChenOne,average clothes and over priced sometimes quality is very bad,Negative,15/01/2024
"Good outlets,comapring the multan chenone tower",ChenOne,good outletscomapring the multan chenone tower,Positive,20/02/2024
Good stuff but costly,ChenOne,good stuff but costly,Positive,04/01/2024
Excellent Products,ChenOne,excellent products,Positive,19/01/2024
Best but ..... during 50% off,ChenOne,best but during off,Positive,05/02/2024
"Came with my family & i was refused entrance, they said ladies only, they said just wait outside. :(",ChenOne,came with my family i was refused entrance they said ladies only they said just wait outside,Neutral,28/01/2024
Nice place,ChenOne,nice place,Positive,23/02/2024
"Expensive, cheaper and better stuff is available on Other brands.",ChenOne,expensive cheaper and better stuff is available on other brands,Positive,23/03/2024
Nice shopping place,ChenOne,nice shopping place,Positive,08/01/2024
Good in the sale time,ChenOne,good in the sale time,Positive,30/03/2024
Superb place,ChenOne,superb place,Positive,07/01/2024
experience,ChenOne,experience,Neutral,27/02/2024
Good,ChenOne,good,Positive,13/03/2024
Bahawalpur good shopping mall,ChenOne,bahawalpur good shopping mall,Positive,14/03/2024
Buy anything what you need,ChenOne,buy anything what you need,Neutral,06/01/2024
I did shopping a lot from here,ChenOne,i did shopping a lot from here,Neutral,09/03/2024
Nice shop,ChenOne,nice shop,Positive,14/01/2024
Good place for shopping,ChenOne,good place for shopping,Positive,15/03/2024
Shoping,ChenOne,shoping,Neutral,02/03/2024
Nice but expensive,ChenOne,nice but expensive,Positive,16/03/2024
Not enough variety.,ChenOne,not enough variety,Neutral,20/02/2024
Best for quality products,ChenOne,best for quality products,Positive,29/01/2024
Nice place for shopping,ChenOne,nice place for shopping,Positive,02/02/2024
Wonderful,ChenOne,wonderful,Positive,23/03/2024
Poor dealing,ChenOne,poor dealing,Negative,06/02/2024
Awesome,ChenOne,awesome,Positive,23/01/2024
"A place of shopping brands cloth, Shoes, cosmetic etc but not for middle standard people.",ChenOne,a place of shopping brands cloth shoes cosmetic etc but not for middle standard people,Neutral,06/02/2024
Good entry,ChenOne,good entry,Positive,30/01/2024
Very much price,ChenOne,very much price,Positive,08/02/2024
No new designs,ChenOne,no new designs,Negative,02/02/2024
Nice collection,ChenOne,nice collection,Positive,16/02/2024
High price clothing shopping store,ChenOne,high price clothing shopping store,Positive,19/01/2024
Little bit expensive,ChenOne,little bit expensive,Negative,02/02/2024
Good addition in Bahawalpur,ChenOne,good addition in bahawalpur,Positive,20/03/2024
"I found nothing which I wanted to buy.
There was less range and prices weren't suitable.",ChenOne,i found nothing which i wanted to buy there was less range and prices werent suitable,Positive,08/03/2024
Its ok,ChenOne,its ok,Positive,05/02/2024
Not economical,ChenOne,not economical,Negative,09/02/2024
high Shopping center,ChenOne,high shopping center,Positive,16/03/2024
Under one roof  quality,ChenOne,under one roof quality,Neutral,08/03/2024
Cheneone outlet Bahawalpur,ChenOne,cheneone outlet bahawalpur,Neutral,25/01/2024
Moderate store and expensive,ChenOne,moderate store and expensive,Negative,10/03/2024
low cost products are useless.,ChenOne,low cost products are useless,Negative,12/03/2024
Good store,ChenOne,good store,Positive,01/01/2024
Classy place,ChenOne,classy place,Positive,09/02/2024
Much Expensive,ChenOne,much expensive,Negative,12/02/2024
Loved it.,ChenOne,loved it,Positive,18/03/2024
Good,ChenOne,good,Positive,13/03/2024
Brand all types clothing under one roof,ChenOne,brand all types clothing under one roof,Neutral,03/02/2024
Gud fir level shopping,ChenOne,gud fir level shopping,Neutral,19/01/2024
good clothing,ChenOne,good clothing,Positive,07/01/2024
love shopping,ChenOne,love shopping,Positive,08/03/2024
Nice,ChenOne,nice,Positive,05/01/2024
Chen one has reduced their quality,ChenOne,chen one has reduced their quality,Neutral,27/03/2024
Cool,ChenOne,cool,Positive,16/01/2024
Nyc for shopping,ChenOne,nyc for shopping,Neutral,15/01/2024
Good,ChenOne,good,Positive,29/01/2024
Level up place for shopping,ChenOne,level up place for shopping,Neutral,06/03/2024
Shoping mall,ChenOne,shoping mall,Neutral,24/02/2024
Only for brand lovers,ChenOne,only for brand lovers,Neutral,14/02/2024
High prices,ChenOne,high prices,Positive,19/03/2024
Brand shop,ChenOne,brand shop,Neutral,01/02/2024
great,ChenOne,great,Positive,25/03/2024
Best prices,ChenOne,best prices,Positive,11/02/2024
Good,ChenOne,good,Positive,02/01/2024
Good but costly,ChenOne,good but costly,Positive,19/01/2024
Nice,ChenOne,nice,Positive,17/02/2024
Just ok,ChenOne,just ok,Positive,11/03/2024
Good,ChenOne,good,Positive,09/03/2024
Good,ChenOne,good,Positive,07/03/2024
Expensive,ChenOne,expensive,Negative,23/03/2024
Nice,ChenOne,nice,Positive,22/02/2024
Shopping clothing,ChenOne,shopping clothing,Neutral,11/02/2024
All in one,ChenOne,all in one,Neutral,05/03/2024
"it,s a good clothing brand for families.",ChenOne,its a good clothing brand for families,Positive,22/02/2024
There used to be variety in things that are no longer there.cost is too much. please improve all these.,ChenOne,there used to be variety in things that are no longer therecost is too much please improve all these,Positive,26/01/2024
"
Chenone is expensive but it never compromised quality.Good Products.
But they place a sale in the end of season brought good things.",ChenOne,chenone is expensive but it never compromised qualitygood products but they place a sale in the end of season brought good things,Positive,07/03/2024
Rate is enough,ChenOne,rate is enough,Neutral,20/03/2024
It is best,ChenOne,it is best,Positive,16/01/2024
"
Over priced AF, useless collection",ChenOne,over priced af useless collection,Negative,07/03/2024
Great,ChenOne,great,Positive,15/01/2024
Superb .. !!,ChenOne,superb,Positive,01/03/2024
"Visited to buy a neck scarf but they didn't have it. Still the attended was courteous enough to guide me to find a nearby store.
Accessibility is an issue but hopefully the attendees can help the visitors",Diners,visited to buy a neck scarf but they didnt have it still the attended was courteous enough to guide me to find a nearby store accessibility is an issue but hopefully the attendees can help the visitors,Positive,25/01/2024
It is nice place for shopping,Diners,it is nice place for shopping,Positive,12/03/2024
"Very good verity and excellent collection .
But very expressive",Diners,very good verity and excellent collection but very expressive,Positive,22/01/2024
It is one of the best shopping store where affordable prices reacable,Diners,it is one of the best shopping store where affordable prices reacable,Positive,02/01/2024
It was good to visit and enjoy all suiting at nominal price,Diners,it was good to visit and enjoy all suiting at nominal price,Positive,16/02/2024
Staff was very responsive and forthcoming. Experience was very good. Strongly recommended.,Diners,staff was very responsive and forthcoming experience was very good strongly recommended,Positive,21/02/2024
"A very nice store if the manager will be replaced because he have no clue of what customer service is.
He is very bad at temperament and ethics",Diners,a very nice store if the manager will be replaced because he have no clue of what customer service is he is very bad at temperament and ethics,Negative,04/02/2024
"As good outlet as in big cities i.e Lahore Islamabad....
Staff need further trainings in my opinion...",Diners,as good outlet as in big cities ie lahore islamabad staff need further trainings in my opinion,Positive,04/01/2024
"Diner store conatains very good stuff of clothes.
It also contains nice shoes.",Diners,diner store conatains very good stuff of clothes it also contains nice shoes,Positive,22/02/2024
Such A great Store in this Area,Diners,such a great store in this area,Positive,18/03/2024
Best shirts and trousers available here.,Diners,best shirts and trousers available here,Positive,20/03/2024
good point,Diners,good point,Positive,07/03/2024
It's my first visit. It's looking a good place for shopping,Diners,its my first visit its looking a good place for shopping,Positive,13/01/2024
Quality of stuff is just acceptable,Diners,quality of stuff is just acceptable,Neutral,25/03/2024
"Nice place to visit,  quite a large verity for gents 2 piece & t-shirts.",Diners,nice place to visit quite a large verity for gents piece tshirts,Positive,04/03/2024
It was good but the prices were high,Diners,it was good but the prices were high,Positive,13/01/2024
I love this one,Diners,i love this one,Positive,04/01/2024
Three piece suit best place,Diners,three piece suit best place,Positive,10/01/2024
Good for Clthing,Diners,good for clthing,Positive,04/01/2024
Good bt costly products,Diners,good bt costly products,Positive,06/03/2024
Good quality and stuff,Diners,good quality and stuff,Positive,20/02/2024
Best clothing brand,Diners,best clothing brand,Positive,04/03/2024
Nice clothes,Diners,nice clothes,Positive,21/01/2024
Great,Diners,great,Positive,28/01/2024
Good store for wears,Diners,good store for wears,Positive,14/03/2024
Good stuff...,Diners,good stuff,Positive,19/02/2024
Because here all the wearables are available of good quality and in normal price .,Diners,because here all the wearables are available of good quality and in normal price,Positive,12/03/2024
cheap &  good stuff dtore,Diners,cheap good stuff dtore,Positive,13/03/2024
Good collection,Diners,good collection,Positive,22/02/2024
Pretty cool,Diners,pretty cool,Positive,16/03/2024
This is simply Store for shopping,Diners,this is simply store for shopping,Neutral,15/03/2024
Products are good but costly. Prices should be reduced!,Diners,products are good but costly prices should be reduced,Positive,17/01/2024
Well known brand with awsum quality utfit.....,Diners,well known brand with awsum quality utfit,Neutral,14/01/2024
Limited stocks,Diners,limited stocks,Negative,25/01/2024
"Just another Diner Clothing Store Franchise in Bahawalpur, one interested in quality clothing should visit this store! I recommend this!",Diners,just another diner clothing store franchise in bahawalpur one interested in quality clothing should visit this store i recommend this,Positive,10/01/2024
Customer oriented but check your budget before entering. Nice clothing available,Diners,customer oriented but check your budget before entering nice clothing available,Positive,28/02/2024
One of the best brand for gents suiting... but it is heavy on pocket.,Diners,one of the best brand for gents suiting but it is heavy on pocket,Positive,31/01/2024
Nice place,Diners,nice place,Positive,19/03/2024
Nice but expensive clothes,Diners,nice but expensive clothes,Positive,30/03/2024
They are one of leading clothing brands with entertaining variety,Diners,they are one of leading clothing brands with entertaining variety,Positive,20/02/2024
Multi variety store.,Diners,multi variety store,Neutral,10/03/2024
Cloths shoping is now easy,Diners,cloths shoping is now easy,Positive,17/03/2024
"A nice place for my taste, got what I was looking for- a simple jeans.",Diners,a nice place for my taste got what i was looking for a simple jeans,Positive,24/03/2024
Nice,Diners,nice,Positive,08/01/2024
Limited stock availability,Diners,limited stock availability,Negative,17/03/2024
nice experience. thy have nice collection with high quality.,Diners,nice experience thy have nice collection with high quality,Positive,25/03/2024
Loves to shop here always....,Diners,loves to shop here always,Neutral,04/02/2024
Nice staff behavior,Diners,nice staff behavior,Positive,16/01/2024
Best collection full of range,Diners,best collection full of range,Positive,18/02/2024
Diner a famous brand dealing in garments all range. Located at chowk Fawara Bahawalpur,Diners,diner a famous brand dealing in garments all range located at chowk fawara bahawalpur,Positive,16/01/2024
Nice place,Diners,nice place,Positive,04/01/2024
Good variety of clothes available with easy to approach location at Farawa chowk bwp.,Diners,good variety of clothes available with easy to approach location at farawa chowk bwp,Positive,02/03/2024
Beautyfull and low price,Diners,beautyfull and low price,Neutral,19/03/2024
The brand which comfort you with excellent clothing abit experience.,Diners,the brand which comfort you with excellent clothing abit experience,Positive,21/03/2024
Wide variety. During sale prices are reasonable,Diners,wide variety during sale prices are reasonable,Positive,02/03/2024
Visited for Party wear but a very low collection.,Diners,visited for party wear but a very low collection,Neutral,19/03/2024
I always shop from there,Diners,i always shop from there,Neutral,14/03/2024
Best quality but high rates,Diners,best quality but high rates,Positive,27/01/2024
"Very small collection of shoes, clothing is good.",Diners,very small collection of shoes clothing is good,Positive,15/02/2024
Excellent customer service and almost all sort of clothing available,Diners,excellent customer service and almost all sort of clothing available,Positive,05/02/2024
Because I get nice variety here,Diners,because i get nice variety here,Positive,26/01/2024
Fine place with wide range and fine fabric,Diners,fine place with wide range and fine fabric,Positive,26/03/2024
Good place to shop men's cloths,Diners,good place to shop mens cloths,Positive,10/01/2024
Good products on one floor.,Diners,good products on one floor,Positive,16/03/2024
Super store,Diners,super store,Positive,04/01/2024
"Good stuff and variety of choices availble under one roof.
Qualty is good and also economialcal.",Diners,good stuff and variety of choices availble under one roof qualty is good and also economialcal,Positive,13/01/2024
Very good store for men dressing near fwara chock,Diners,very good store for men dressing near fwara chock,Positive,09/01/2024
